country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
madagascar,unemployment rate by sex and age,MALE,UNDER 15,children,1.369,545.1892685873537,1.753,1.747,1.749,1.746,2.268,2.284,1.883,1.804,
united states,UNEMPLOYMENT RATE BY SEX AND AGE,male,25+,adults,4.988,4.253,3.973,3.53,3.155,2.912,6.794,4.739,2.952,,3.257
south america,UNEMPLOYMENT RATE BY SEX AND AGE,NAN,UNDER 15,children,7.846,8.82,10.646,11.373,,11.449,14.327,,9.794,,8.391
NORTH MACEDONIA,unemployment rate by sex and age,NAN,15-24,NAN,55.874,43.8,49.559,49.311,45.114,38.847,,41.152,38.021,,32.028
netherlands,unemployment rate by sex and age,FEMALE,25+,NAN,6.681,6.473,5.75,4.539,3.412,2.787,2.947,3.58,2.964,2.858,2.776
sierra leone,UNEMPLOYMENT RATE BY SEX AND AGE,female,25+,adults,3.29,,3.048,,2.022,2.031,2.136,2.289,2.086,2.022,1.986
UZBEKISTAN,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,YOUTH,12.615,,12.91,14.617,15.674,16.374,,20.941,18.639,17.793,17.57
saint vincent and the grenadines,unemployment rate by sex and age,MALE,under 15,children,20.681,20.562,20.441,20.409,20.399,20.695,22.472,22.135,,20.034,19.323
MALDIVES,unemployment rate by sex and age,male,25+,ADULTS,3.928,3.695,3.432,3.258,,2.843,3.819,3.609,,2.965,3.064
ETHIOPIA,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,under 15,children,,3.19,3.335,3.473,3.668,,5.096,5.149,4.584,4.473,4.45
australia,UNEMPLOYMENT RATE BY SEX AND AGE,male,25+,adults,4.448,4.469,4.098,3.989,3.85,3.785,5.014,3.897,2.829,2.756,2.86
BRAZIL,unemployment rate by sex and age,male,under 15,nan,5.613,7.231,10.074,11.202,10.734,10.068,11.799,10.676,7.472,6.515,6.35
NAN,unemployment rate by sex and age,FEMALE,15-24,youth,26.157,27.434,28.621,29.722,32.978,24.246,33.654,23.132,23.916,23.425,22.854
chad,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,15-24,YOUTH,1.946,,2.078,2.133,2.153,,2.543,2.856,2.134,1.895,1.805
"hong kong, china",unemployment rate by sex and age,female,UNDER 15,children,3.011,3.177,291.2396381903166,2.856,2.423,2.295,4.734,4.21,3.52,3.335,3.255
"KOREA, REPUBLIC OF",UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,youth,9.267,9.893,10.27,10.063,10.332,10.186,10.741,8.911,7.234,5.599,6.047
BURKINA FASO,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,YOUTH,,7.724,,7.856,,7.862,8.84,,8.315,,8.091
south america,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,youth,18.01,20.48,24.872,26.262,25.897,26.007,30.657,27.993,21.326,18.726,18.913
myanmar,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,under 15,CHILDREN,0.664,,0.859,1.07,0.637,,1.058,3.922,2.589,2.542,2.517
nan,nan,MALE,15-24,youth,10.791,,,11.955,10.191,8.458,8.203,9.061,6.91,6.737,6.838
DOMINICAN REPUBLIC,UNEMPLOYMENT RATE BY SEX AND AGE,female,UNDER 15,CHILDREN,9.766,10.956,10.783,8.156,9.163,495.5104718529904,9.083,12.521,8.706,8.295,
bahamas,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,adults,11.521,10.299,11.53,8.796,7.407,7.415,9.339,8.835,7.731,,7.262
georgia,unemployment rate by sex and age,male,under 15,CHILDREN,19.93,18.731,19.994,14.991,13.939,12.813,13.07,13.184,12.949,13.015,253.06001403432947
nan,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,adults,1.617,1.681,1.914,2.007,,1.863,2.361,2.209,2.29,1.539,1.041
nan,NAN,MALE,25+,adults,22.08,20.221,18.336,16.412,14.02,12.649,12.277,10.175,8.291,7.24,
gabon,unemployment rate by sex and age,FEMALE,25+,ADULTS,26.326,26.479,26.823,27.184,27.473,27.339,28.379,28.504,27.669,27.464,27.326
DENMARK,unemployment rate by sex and age,NAN,25+,ADULTS,6.107,5.686,5.544,418.26368667504937,4.637,,5.171,4.147,3.45,3.954,4.196
sao tome and principe,nan,female,15-24,youth,32.269,,32.755,,33.086,,37.914,36.307,34.18,33.892,33.81
saint lucia,unemployment rate by sex and age,MALE,NAN,ADULTS,12.365,11.733,10.997,10.404,11.807,9.09,14.007,12.535,10.39,8.049,8.158
"IRAN, ISLAMIC REPUBLIC OF",unemployment rate by sex and age,MALE,nan,YOUTH,21.22,22.196,25.304,24.059,24.193,22.641,21.156,20.871,20.227,19.928,19.817
CAMEROON,unemployment rate by sex and age,male,15-24,YOUTH,5.708,5.699,5.737,5.83,5.909,495.5104718529904,6.54,6.543,6.115,5.969,5.909
"tanzania, united republic of",UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,adults,233.23047477058756,2.044,2.224,2.406,2.624,2.866,3.239,,3.196,,3.057
CROATIA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,ADULTS,13.466,12.915,10.371,8.827,6.455,5.316,6.336,6.163,5.307,4.522,4.53
bolivia,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,ADULTS,0.913,1.844,2.402,2.735,2.653,2.681,4.336,3.888,2.509,2.849,2.885
GUAM,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,youth,17.594,15.999,12.535,12.599,12.683,12.63,14.518,13.665,12.943,164.64265165954762,12.831
SUDAN,unemployment rate by sex and age,NAN,15-24,youth,27.71,26.948,27.038,27.399,,28.311,31.316,30.84,28.523,33.92,34.094
ZAMBIA,UNEMPLOYMENT RATE BY SEX AND AGE,nan,15-24,NAN,17.386,,17.511,17.393,9.364,12.128,11.258,8.791,7.349,7.302,7.374
ESTONIA,UNEMPLOYMENT RATE BY SEX AND AGE,male,25+,nan,6.78,5.484,291.2396381903166,5.433,4.754,3.505,6.07,295.40519255507814,4.874,5.529,5.707
nan,unemployment rate by sex and age,male,under 15,children,23.598,20.777,18.128,15.658,13.72,12.45,13.87,13.056,11.278,10.504,10.554
LITHUANIA,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,UNDER 15,children,,,6.638,5.661,5.405,5.492,7.691,6.607,,6.316,6.059
PANAMA,unemployment rate by sex and age,male,25+,adults,2.24,2.54,2.76,2.84,2.87,3.45,7.901,8.16,5.13,4.698,4.571
PARAGUAY,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,under 15,CHILDREN,3.844,4.301,4.259,5.01,,5.366,,5.703,5.666,4.586,4.696
nan,unemployment rate by sex and age,FEMALE,under 15,CHILDREN,20.356,18.747,,14.267,13.689,,9.406,10.994,8.975,7.781,6.888
NAN,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,under 15,children,6.984,6.641,,5.484,4.245,3.84,5.733,5.221,4.729,4.596,4.553
INDIA,unemployment rate by sex and age,nan,15-24,youth,22.529,23.35,24.215,25.127,26.088,,24.513,21.105,17.535,18.422,19.53
INDONESIA,unemployment rate by sex and age,female,under 15,CHILDREN,3.882,4.423,3.869,3.48,4.183,,3.766,3.152,3.15,2.996,2.942
"TANZANIA, UNITED REPUBLIC OF",NAN,female,under 15,children,2.687,,2.852,2.967,3.117,3.288,3.708,295.40519255507814,3.542,3.476,3.441
nan,UNEMPLOYMENT RATE BY SEX AND AGE,nan,UNDER 15,children,11.657,11.456,11.381,9.717,6.958,6.377,,7.274,6.437,6.312,6.248
UNITED KINGDOM,unemployment rate by sex and age,MALE,NAN,ADULTS,4.372,3.76,3.419,3.092,,2.643,3.328,3.865,2.655,3.181,3.558
TOGO,unemployment rate by sex and age,female,25+,ADULTS,,1.102,1.514,,1.96,1.974,,2.303,2.035,1.969,1.94
ESWATINI,unemployment rate by sex and age,female,UNDER 15,children,25.827,25.195,,24.45,,24.327,26.501,26.132,24.477,24.023,23.793
PORTUGAL,unemployment rate by sex and age,male,15-24,YOUTH,34.155,29.583,27.234,22.407,19.806,15.512,20.959,21.006,17.801,18.456,18.016
eswatini,unemployment rate by sex and age,MALE,25+,ADULTS,,16.95,16.843,16.934,17.061,,433.4241205489025,18.925,17.25,16.812,
ISRAEL,unemployment rate by sex and age,MALE,under 15,children,5.776,5.063,4.598,4.051,3.953,3.626,4.351,4.886,3.8,3.432,3.776
kenya,unemployment rate by sex and age,NAN,under 15,CHILDREN,2.967,2.956,2.945,3.765,4.519,5.252,6.582,7.518,7.515,7.443,7.367
nigeria,unemployment rate by sex and age,MALE,under 15,CHILDREN,4.163,4.38,4.802,5.169,478.69225733239847,5.449,5.404,4.338,2.516,2.355,
POLAND,unemployment rate by sex and age,NAN,UNDER 15,children,8.499,7.329,6.106,4.872,,3.02,3.057,3.337,2.849,2.877,2.635
MALDIVES,nan,female,UNDER 15,children,,6.439,5.172,4.712,4.247,3.784,4.264,4.176,3.782,3.65,
MALAWI,unemployment rate by sex and age,FEMALE,UNDER 15,children,5.85,5.823,5.897,5.943,5.9,5.819,6.65,6.702,6.059,5.945,253.06001403432947
QATAR,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,NAN,3.932,3.046,,,478.69225733239847,1.477,1.896,295.40519255507814,1.548,1.636,1.663
guam,unemployment rate by sex and age,MALE,25+,ADULTS,6.169,5.619,4.412,4.44,4.478,4.445,5.268,5.082,4.655,4.643,4.611
PHILIPPINES,unemployment rate by sex and age,MALE,15-24,YOUTH,8.526,7.706,6.882,6.677,5.805,5.903,6.142,7.445,6.234,5.761,
ZAMBIA,unemployment rate by sex and age,FEMALE,under 15,CHILDREN,8.323,8.599,,8.928,5.09,5.215,6.558,5.708,5.114,4.922,4.85
estonia,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,UNDER 15,children,7.857,6.244,7.413,6.19,5.413,4.076,6.969,6.784,6.067,6.527,6.841
czechia,unemployment rate by sex and age,female,25+,ADULTS,6.77,5.54,4.27,3.28,2.574,495.5104718529904,2.675,,2.5,,2.581
timor-leste,unemployment rate by sex and age,MALE,15-24,youth,9.227,9.969,,,7.484,5.845,4.661,2.993,2.481,2.62,2.71
JORDAN,unemployment rate by sex and age,nan,25+,ADULTS,5.857,545.1892685873537,291.2396381903166,11.633,12.24,,13.369,13.898,13.274,13.09,12.979
"TANZANIA, UNITED REPUBLIC OF",UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,NAN,4.431,4.364,4.365,4.353,4.358,4.362,4.906,4.868,,4.435,4.432
NAN,unemployment rate by sex and age,male,15-24,YOUTH,2.396,2.317,,2.362,,3.933,6.167,3.755,4.153,4.527,4.54
MOROCCO,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,nan,17.545,,22.613,23.17,23.418,23.517,27.436,26.426,24.056,23.79,23.707
latvia,unemployment rate by sex and age,FEMALE,25+,adults,9.02,8.194,8.122,7.131,6.065,5.141,6.583,6.07,5.209,4.799,5.003
lithuania,unemployment rate by sex and age,FEMALE,15-24,youth,18.745,16.675,12.633,11.664,10.069,495.5104718529904,17.301,14.709,10.389,9.312,8.343
cuba,UNEMPLOYMENT RATE BY SEX AND AGE,female,25+,ADULTS,2.672,2.209,1.88,1.413,1.585,1.046,1.4,1.358,1.103,1.041,0.983
NIGERIA,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,nan,10.945,11.382,12.152,,13.175,13.289,13.698,11.147,,7.929,253.06001403432947
sweden,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,ADULTS,5.552,,5.058,,,5.253,6.507,7.097,5.809,5.759,6.544
iraq,UNEMPLOYMENT RATE BY SEX AND AGE,nan,15-24,NAN,16.773,18.338,19.768,21.561,23.4,25.491,30.241,31.677,27.416,27.744,27.647
canada,unemployment rate by sex and age,male,25+,adults,6.236,6.324,6.627,5.906,5.165,5.097,8.072,6.643,4.525,4.686,5.269
poland,unemployment rate by sex and age,female,15-24,youth,25.456,20.929,17.976,,12.114,10.236,11.507,12.492,,11.414,11.045
SAINT VINCENT AND THE GRENADINES,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,under 15,CHILDREN,17.013,16.924,16.834,16.81,16.803,17.026,18.084,18.064,17.369,16.548,15.957
burundi,NAN,MALE,15-24,youth,4.166,3.86,3.426,3.015,2.608,2.206,2.02,2.155,2.174,2.004,1.912
qatar,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,adults,0.639,0.563,0.484,0.401,0.307,0.271,,0.291,0.273,0.287,0.293
south america,NAN,male,under 15,CHILDREN,5.51,6.332,7.893,8.427,8.312,8.22,10.64,9.117,,6.136,5.986
ROMANIA,unemployment rate by sex and age,female,under 15,children,6.092,5.856,4.984,4.048,3.497,3.381,4.688,5.045,5.048,5.129,5.036
"taiwan, china",unemployment rate by sex and age,FEMALE,25+,ADULTS,2.718,2.645,2.717,2.581,2.671,,2.984,2.951,465.9260602831068,2.751,2.758
NAN,UNEMPLOYMENT RATE BY SEX AND AGE,female,NAN,youth,20.953,21.071,21.187,21.278,21.369,21.598,24.659,23.795,22.224,,22.259
TIMOR-LESTE,unemployment rate by sex and age,female,15-24,YOUTH,15.239,15.632,15.952,14.023,12.101,10.184,9.129,6.977,5.796,164.64265165954762,253.06001403432947
india,nan,FEMALE,UNDER 15,children,8.106,,7.907,,7.717,6.075,6.751,5.39,4.586,3.935,3.831
ANGOLA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,15-24,youth,35.298,35.222,35.129,34.889,,33.9,34.835,32.405,30.465,29.745,29.351
KYRGYZSTAN,unemployment rate by sex and age,FEMALE,NAN,ADULTS,2.422,,2.675,2.825,2.907,3.533,4.108,3.526,3.48,3.484,3.489
north macedonia,unemployment rate by sex and age,MALE,UNDER 15,children,27.888,27.118,24.969,23.068,,16.583,16.801,16.493,,13.512,12.308
malawi,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,nan,adults,3.148,3.124,3.174,,,3.076,3.772,3.802,3.184,3.154,3.129
DJIBOUTI,unemployment rate by sex and age,MALE,under 15,children,,22.198,22.065,,22.214,22.26,23.708,23.744,22.535,22.143,21.858
CABO VERDE,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,nan,24.959,26.231,27.379,28.644,24.13,24.393,,27.56,25.55,24.833,24.67
BELGIUM,UNEMPLOYMENT RATE BY SEX AND AGE,female,UNDER 15,CHILDREN,7.938,7.769,7.56,7.058,5.566,4.94,5.353,5.856,5.252,4.846,4.859
NAN,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,UNDER 15,CHILDREN,20.356,18.747,,14.267,13.689,,9.406,10.994,8.975,7.781,6.888
MALAYSIA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,15-24,youth,9.081,10.524,10.51,10.758,10.658,10.289,12.018,11.339,9.986,10.076,10.028
CAMEROON,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,YOUTH,6.728,6.714,6.749,,6.918,6.972,7.849,7.719,7.177,7.034,6.974
bahamas,unemployment rate by sex and age,male,25+,adults,10.061,8.713,8.878,418.26368667504937,7.432,7.394,9.942,9.042,7.715,7.231,7.132
nan,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,youth,58.119,57.015,,60.976,58.209,51.002,42.954,28.386,26.035,27.319,28.734
VIET NAM,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,ADULTS,0.407,,0.821,0.815,0.51,0.994,1.697,1.726,0.921,0.965,
NAN,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,youth,41.588,41.769,42.156,42.568,42.901,42.737,46.658,44.929,43.301,43.02,42.852
gambia,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,YOUTH,233.23047477058756,12.289,10.379,8.24,6.31,6.211,7.356,7.162,6.555,6.369,6.248
indonesia,unemployment rate by sex and age,male,under 15,children,4.153,4.563,4.568,3.971,4.523,,4.565,4.272,3.66,3.459,3.388
nan,NAN,male,UNDER 15,CHILDREN,,2.971,2.603,2.459,,2.053,2.397,3.129,2.179,2.054,2.001
estonia,unemployment rate by sex and age,MALE,15-24,youth,19.191,13.798,15.725,13.805,12.237,10.44,17.322,18.221,,18.083,19.327
AFGHANISTAN,unemployment rate by sex and age,NAN,nan,CHILDREN,7.34,8.355,9.362,10.36,10.137,9.93,10.458,10.97,465.9260602831068,14.411,15.296
"moldova, republic of",unemployment rate by sex and age,FEMALE,25+,adults,0.966,1.138,0.841,1.08,0.877,1.071,0.713,0.425,0.505,0.956,0.934
LEBANON,unemployment rate by sex and age,MALE,15-24,YOUTH,18.855,20.054,21.227,22.279,23.218,24.256,27.982,26.535,24.824,24.673,
NORWAY,UNEMPLOYMENT RATE BY SEX AND AGE,female,25+,ADULTS,2.682,3.249,3.067,2.876,2.767,2.452,3.155,2.863,2.073,2.147,2.075
china,unemployment rate by sex and age,female,15-24,YOUTH,9.397,,9.494,9.381,8.708,9.627,11.425,295.40519255507814,13.362,13.958,13.818
PAPUA NEW GUINEA,UNEMPLOYMENT RATE BY SEX AND AGE,male,nan,children,3.617,3.586,,3.702,3.804,3.817,,4.599,3.924,3.872,3.77
ANGOLA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,adults,8.104,,9.277,9.814,10.292,,10.801,10.272,9.179,9.041,8.866
channel islands,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,YOUTH,19.492,18.21,17.276,15.631,13.649,13.496,15.501,15.824,13.585,13.35,13.299
"hong kong, china",unemployment rate by sex and age,female,25+,ADULTS,,2.554,2.566,2.416,,1.98,4.169,3.856,3.182,,2.956
united states,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,UNDER 15,CHILDREN,6.262,5.367,4.939,,3.951,3.721,7.796,5.47,3.682,3.798,4.08
UNITED ARAB EMIRATES,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,25+,adults,3.954,3.757,3.582,6.47,5.207,4.986,,5.698,5.204,5.43,5.56
UKRAINE,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,15-24,youth,24.177,22.94,24.103,20.388,478.69225733239847,15.486,19.9,,,,
